,x,y,z
Right-thalamusproper,11.767,-17.389,6.5246
Right-caudate,13.666,9.8936,9.9944
Right-putamen,24.602,2.8788,-1.6282
Right-pallidum,21.152,-4.2456,-1.0409
Right-accumbensarea,-12.271,18.57,-17.167
Right-hippocampus,26.132,-21.716,-13.724
Right-amygdala,23.445,-1.5834,-20.571
Left-thalamusproper,-11.373,-19.314,6.5644
Left-caudate,-12.906,8.4539,10.124
Left-putamen,-25.394,0.44851,0.3466
Left-pallidum,-20.149,-5.6938,-1.0445
Left-accumbensarea,-8.2511,10.788,-7.3991
Left-hippocampus,-24.436,-22.015,-14.5
Left-amygdala,-23.706,-2.5469,-20.649
