,5HT1a_way_hc36_savli,5HT1a_cumi_hc8_beliveau,5HT1b_az_hc36_beliveau,5HT1b_p943_hc22_savli,5HT1b_p943_hc65_gallezot,5HT2a_cimbi_hc29_beliveau,5HT2a_alt_hc19_savli,5HT2a_mdl_hc3_talbot,5HT4_sb20_hc59_beliveau,5HT6_gsk_hc30_radhakrishnan,5HTT_dasb_hc100_beliveau,5HTT_dasb_hc30_savli,A4B2_flubatine_hc30_hillmer,CB1_omar_hc77_normandin,CB1_FMPEPd2_hc22_laurikainen,D1_SCH23390_hc13_kaller,D2_fallypride_hc49_jaworska,D2_flb457_hc37_smith,D2_flb457_hc55_sandiego,D2_raclopride_hc7_alakurtti,DAT_fpcit_hc174_dukart_spect,DAT_fepe2i_hc6_sasaki,GABAa-bz_flumazenil_hc16_norgaard,GABAa_flumazenil_hc6_dukart,H3_cban_hc8_gallezot,M1_lsn_hc24_naganawa,mGluR5_abp_hc22_rosaneto,mGluR5_abp_hc28_dubois,mGluR5_abp_hc73_smart,MU_carfentanil_hc204_kantonen,MU_carfentanil_hc39_turtonen,NAT_MRB_hc77_ding,NAT_MRB_hc10_hesse,NMDA_ge179_hc29_galovic,VAChT_feobv_hc3_spreng,VAChT_feobv_hc4_tuominen,VAChT_feobv_hc5_bedard_sum,VAChT_feobv_hc18_aghourian_sum
MnR,12.140263120178929,20.720833369663783,11.408323287963867,0.7751701191450096,0.508970034973962,6.197246892111642,0.0,23.807904924665177,1.211833221571786,-0.015881843731871674,43.160287039620535,68.41944476869685,15.92679854801723,0.9996618628501892,4.6511709896634175,5.814000276150182,1.6261950140802324,1.996307475226266,2.2027197565351213,15.586000740295276,36.732723236083984,0.21156527314867293,155.5859091622489,15.273285419214517,15.913780348641533,0.14905041669096267,2.4635186195373535,1.6720022133418493,0.06091182651341244,27.676001314539462,0.9425538002930504,0.41193714312144686,57.16000271495432,6.304461780133091,4.396045122029526,,9.413115773882184,28.18455559866769
PAG_2020,16.470839598603675,13.10361847305325,12.952598533630372,26.399324323545745,0.8072658338149389,7.3755924764497225,1.9638660845899274,21.99685231950548,0.9336787461257714,-0.1893083675371276,29.511227983898586,64.01582883055259,11.885530489815606,0.8875007469124264,4.774195569032892,6.708933651990567,2.515594441876747,1.6084722579974267,2.6179050363434686,16.10580076498445,33.510189310709634,-0.13181499881359438,266.0825781086147,31.068035561963917,17.781238534715442,0.20827541414234374,2.2007875378926594,1.5290946181615193,0.06800564580321306,38.01140180544462,1.0894090380407249,0.21244563900762134,24.398429730291745,6.11723375156386,5.278858202765955,2.6453207689419127,10.34749902513292,45.28386693318685
SN_subregion1_l,3.2229893496816087,1.291409315334426,18.40315121544732,22.587218562116774,0.9389501458465173,3.3847783377224747,3.0175175874022013,21.818159399361445,2.2390207158194646,0.029999919478859514,18.004004351298015,30.911493854267835,16.606434911342678,1.214025748774336,5.047352111193054,16.818000798812136,2.26268325665945,2.4287467672319836,2.342061748645576,19.504385541793173,39.66263785729041,0.5017621470936413,166.26538713243272,21.907773753305754,22.945816195069863,0.4298117774827727,2.378201956232193,1.6583271481720685,0.08068007298573818,10.699308200497539,0.7321973651128432,0.20930228607151016,35.1381555151266,5.98094743782985,3.16707545602459,1.4895911884307862,7.844258540956845,32.98131516179428
SN_subregion2_l,2.878505808244398,1.0941223062574863,15.330305780683245,14.329050609533065,0.91542924408744,3.1871086453519215,4.174169082440489,22.200087863149367,1.6960091619264512,0.055392537217353655,15.778397855304537,30.210577630028638,16.181920971517776,1.2274610892752742,5.092652866128513,12.90480061294511,2.0907994713703504,2.432661993327248,2.317373169963383,19.842900942487177,41.87463302612305,0.46032881444481794,176.16507539411833,22.23494056648342,22.552631519231767,0.4633414225946285,2.4683799850979034,1.6757351133217766,0.11489201501690127,10.037100476736668,0.7421146034153552,0.22504486797012124,29.84620141761843,6.163533903837131,3.2810338720285492,1.5202162729369268,7.897336538198293,32.164996469135836
RN_subregion1_l,4.950102227315004,8.626265541199714,11.308916584137947,17.811038276664867,0.6752584012779029,11.061996921416252,6.244697325984623,24.04987133129223,1.8922972409955916,0.08607918233484835,28.703871634698682,66.13491765346096,19.115624226750555,1.1404463471593083,5.912377423641263,11.17114338774367,3.000687144950309,2.359895943306588,3.029976173349329,18.30914372678048,40.24703924996512,0.43658912270455746,245.4683111242346,24.902005098959698,23.769541529062632,0.41775103823558707,2.4513233159039474,1.856579759958628,0.23172337288680767,22.97300109115895,1.1881836416735085,0.47264496329668404,49.21300233749207,6.853750121351992,4.607226261296435,2.027728971980867,10.14612466451284,43.832085831100876
RN_subregion2_l,4.519113026432267,6.135621831102191,13.961909779962504,20.219868936228448,0.7070899481934626,12.679926746296433,3.514969368840948,24.47364879000014,1.833895836236342,0.09609417189002613,31.32821345779131,71.88329720751628,19.195846539188697,1.1376425857129304,5.790974469233622,12.017000570776872,2.6013657803009465,2.320096536534996,2.763946907531812,18.48155643338234,39.373298221164276,0.4796599257683408,243.935872985545,23.174535533587914,22.777039366643788,0.3645713941198616,2.5258203065337765,1.7837657698110683,0.16918415974529027,18.31877864787303,0.9581577695457861,0.5026187722521703,55.43700263311621,6.955858300761421,4.592155885028401,2.00970512170058,9.541165554581058,41.65049151176416
mRT_merged_l,5.1984890113335664,8.858679377242346,13.028915326239654,19.48420327107114,0.6614863287866786,10.58857508127202,4.843287461056932,24.98749394363232,1.7374802977669963,0.008585603023994337,27.71546300076648,62.08753364558712,16.658007386025417,1.0126055552718345,5.793530371244062,11.378333873775167,3.109543602729708,2.102501053086827,2.8733445489004756,19.957778725721354,37.82545598347982,0.12712463260931747,327.59571653216074,29.085161707519244,18.75678228742621,0.4348446108317107,2.7213328832990666,1.9630922036224536,0.3261361610181574,38.963557406225135,1.4765161917905172,0.4588908624113276,55.73950264748419,6.982904332825127,5.52076709279058,2.529103410243988,11.408974253193715,52.32106707712238
CnF_l,17.377239393857735,12.611089098687266,14.355238690095788,30.698569847609633,0.8588681115823633,6.892358700434367,0.0,21.804889230167163,0.8895951386760262,-0.22875560323397318,31.941873587814033,54.063538199952745,11.359246104371314,0.8560250880671483,4.646860036329599,6.974000331247225,2.5824662447455067,1.130387123893289,2.82562593385285,18.436000875663012,33.54798126220703,-0.18115858112772307,300.0835996141621,33.609539608703926,19.729898022670373,0.19666900441927068,2.4143548479267194,1.6173126744289024,0.08189176357094159,43.32100205763709,1.0733803992775697,0.18804541719602605,13.422000637510791,6.784038168766796,5.574175700641183,2.831855922937393,10.71314800486845,53.67045129514208
PTg_l,8.465834551231666,3.975861823274976,14.075550465356736,20.67018628708888,0.7529536357947758,4.74360621259326,2.122562355761474,24.348590487525577,1.0850717070556821,-0.029285878020649154,24.857847985767183,58.085876909935905,15.942646072024392,1.0394479845251356,4.845726462774275,7.758000368485227,1.9023877676684475,3.13681507678259,2.6180680819920132,15.05500071507413,36.5422477722168,0.20164347404525393,244.56937771751768,22.593747084145434,19.527254876636324,0.28701852581330706,2.314870351836795,1.6301535424732028,0.06898306639786392,27.10450128739467,0.8840913755616797,0.4244981542939231,27.39900130138267,6.594670389022905,4.99187294437295,1.9604759216308594,9.18966581707909,38.38020270211356
isRT_l,10.931730234997872,10.19489741936708,16.869876580360607,27.89188299208172,0.9053685328899286,10.63020061223935,2.3102511516021167,23.82450609940749,1.484331257832356,-0.08122160092581254,33.00349582769932,67.85078323577181,15.730685845399515,0.973729343750538,5.300402701167443,8.92200042377226,2.4036227719871723,2.337359498708676,2.8656999942583914,16.56200078665279,35.52790451049805,0.022901392207504846,328.13888588929785,29.747694220219273,19.484360010196003,0.3160408125855984,2.589546594864283,1.7584501214516468,0.16954486962118281,35.73166836382976,1.1827571742375285,0.4303825493806448,29.933334755090375,7.029753076789814,5.9707575890784845,2.6033618648846946,11.155968397091597,53.21202786763509
