,labels,structure,hemisphere,rsn,x,y,z,nvoxels,tSNR
0,MnR,brainstem,M,,0.571426,-30.8571,-19.8571,7.0,11.706263678414482
1,PAG_2020,brainstem,M,,0.566666,-32.5733,-8.94444,450.0,15.621211353937785
2,SN_subregion1_l,brainstem,L,,-7.70936,-15.4975,-12.0788,406.0,5.481527270354661
3,SN_subregion2_l,brainstem,L,,-9.6463,-15.4437,-10.5756,311.0,6.0350590840796565
4,RN_subregion1_l,brainstem,L,,-5.14054,-16.8649,-7.01621,185.0,6.877403439702214
5,RN_subregion2_l,brainstem,L,,-4.34782,-20.1111,-9.16425,207.0,5.935862750822795
6,mRT_merged_l,brainstem,L,,-7.49213,-23.3393,-4.15955,445.0,10.95477960565117
7,CnF_l,brainstem,L,,-3.09804,-32.7059,-8.17647,51.0,15.120421858394847
8,PTg_l,brainstem,L,,-6.88095,-28.7143,-13.4048,42.0,12.80624787012736
9,isRT_l,brainstem,L,,-5.60256,-28.6154,-8.0,78.0,13.213732230357635
10,LDTg_CGPn_l,brainstem,L,,-1.46512,-38.3256,-31.5174,172.0,13.789910532707392
11,PnO_PnC_l,brainstem,L,,-1.78516,-35.2188,-31.0469,256.0,13.666317135095596
12,LC_l,brainstem,L,,-3.41666,-37.5,-25.5,12.0,15.612679243087769
13,SubC_l,brainstem,L,,-5.52728,-37.4727,-35.8909,55.0,13.944122470508923
14,ION_l,brainstem,L,,-4.51418,-37.1383,-52.1489,282.0,10.304915025724586
15,SC_l,brainstem,L,,-4.22222,-31.7901,-4.17284,81.0,12.297086362485532
16,IC_l,brainstem,L,,-4.42623,-35.6557,-9.45901,61.0,13.700233006086506
17,VTA_PBP_l,brainstem,L,,-4.865,-16.065,-9.625,400.0,8.468636874556541
18,MiTg_spth_l,brainstem,L,,-7.88095,-30.8571,-9.40476,42.0,13.598509584154401
19,LPB_l,brainstem,L,,-6.75,-37.3068,-20.4886,88.0,14.184049497951161
20,MPB_l,brainstem,L,,-4.10448,-36.5224,-23.2537,67.0,15.689039415387965
21,Ve_l,brainstem,L,,-5.70588,-41.3726,-37.8088,204.0,13.832228894327201
22,PCRtA_l,brainstem,L,,-7.125,-38.25,-40.9583,24.0,13.048519412676493
23,SOC_l,brainstem,L,,-4.5,-38.125,-45.1667,24.0,12.550240914026896
24,sMRtComb_l,brainstem,L,,-3.80769,-40.4231,-47.0513,78.0,12.696991957150972
25,VSM_l,brainstem,L,,-1.91228,-43.8947,-52.6316,114.0,12.521422001353482
26,iMRtComb_l,brainstem,L,,-3.48875,-43.1029,-56.4373,311.0,10.809205956781026
27,RMg,brainstem,M,,0.818184,-37.4545,-44.0,11.0,11.785486047918146
28,ROb,brainstem,M,,0.711113,-41.1333,-52.4222,45.0,10.216053771972657
29,RPa,brainstem,M,,0.905937,-36.9109,-52.2327,202.0,9.41077221502172
30,iMRtComb_r,brainstem,R,,4.50445,-42.908,-57.6024,337.0,10.446421304866893
31,VSM_r,brainstem,R,,3.08108,-43.4504,-52.7928,111.0,12.354602152162844
32,sMRtComb_r,brainstem,R,,5.44579,-40.1084,-47.2651,83.0,12.352108265980181
33,SOC_r,brainstem,R,,5.90476,-38.0952,-45.1905,21.0,12.820032437642416
34,PCRtA_r,brainstem,R,,8.44,-38.08,-40.88,25.0,12.499086303710937
35,Ve_r,brainstem,R,,6.77248,-41.1693,-38.1058,189.0,13.433840600271074
36,MPB_r,brainstem,R,,5.2,-37.0267,-23.5733,75.0,15.586345672607422
37,LPB_r,brainstem,R,,8.24675,-38.1429,-20.8701,77.0,14.609970612959428
38,MiTg_spth_r,brainstem,R,,8.65625,-30.9375,-9.6875,32.0,13.11706030368805
39,VTA_PBP_r,brainstem,R,,6.72593,-16.316,-9.59506,405.0,8.186174853054094
40,IC_r,brainstem,R,,5.5,-35.8103,-9.41379,58.0,13.730846799653152
41,SC_r,brainstem,R,,5.47826,-31.2464,-3.78261,69.0,11.744985981263977
42,ION_r,brainstem,R,,6.16105,-36.2697,-52.1199,267.0,9.983762673224403
43,SubC_r,brainstem,R,,7.25532,-37.3404,-35.1489,47.0,13.861164924946237
44,LC_r,brainstem,R,,5.0,-37.6923,-25.8462,13.0,15.91741444514348
45,PnO_PnC_r,brainstem,R,,3.39147,-35.3566,-31.376,258.0,13.404188577518907
46,LDTg_CGPn_r,brainstem,R,,2.9871,-38.3806,-31.271,155.0,13.708610897679483
47,isRT_r,brainstem,R,,7.0145,-28.2899,-7.76811,69.0,13.060248001762059
48,PTg_r,brainstem,R,,7.78261,-28.9565,-13.5652,23.0,12.971791308859121
49,CnF_r,brainstem,R,,4.60714,-32.375,-8.28571,56.0,14.781901291438512
50,mRT_merged_r,brainstem,R,,8.78304,-23.1097,-3.86035,401.0,10.743185615301726
51,RN_subregion2_r,brainstem,R,,5.54194,-20.1226,-9.06452,155.0,5.37823128238801
52,RN_subregion1_r,brainstem,R,,6.31159,-17.1667,-6.64493,138.0,6.1809002351069795
53,SN_subregion2_r,brainstem,R,,10.6051,-15.3538,-10.5077,195.0,5.969817979519184
54,SN_subregion1_r,brainstem,R,,9.635,-15.88,-11.66,400.0,5.510015681385994
55,CLi_RLi,brainstem,M,,0.49102,-23.2455,-9.05988,167.0,10.19169069050315
56,DR_2020,brainstem,M,,0.725487,-31.5882,-14.0784,153.0,15.08902885711271
57,PMnR,brainstem,M,,0.714287,-31.0952,-20.5714,63.0,12.432626209561787
58,STh_subregion1_l,diencephalon,L,,-10.5159,-11.9444,-5.75397,126.0,6.826478865411547
59,STh_subregion2_l,diencephalon,L,,-9.23711,-11.7113,-6.49484,97.0,6.087326996105233
60,HTH,diencephalon,M,,-0.101921,-3.60841,-9.95932,,
61,STh_subregion2_r,diencephalon,R,,10.4625,-11.425,-6.2125,80.0,5.807541254162788
62,STh_subregion1_r,diencephalon,R,,11.1456,-11.3592,-6.56311,103.0,6.042524460449959
63,LG_l,diencephalon,L,,-23.4771,-24.6209,-6.31373,153.0,13.193038532157349
64,LG_r,diencephalon,R,,23.5924,-24.2484,-5.8344,157.0,14.115119955342287
65,MG_l,diencephalon,L,,-14.5556,-28.4444,-3.125,72.0,10.673772878117031
66,MG_r,diencephalon,R,,15.3333,-28.0476,-2.53968,63.0,11.187189208136665
67,L-Accumbens-area,subcortex,L,,-8.2511,10.788,-7.3991,,
68,L-Amygdala,subcortex,L,,-23.706,-2.5469,-20.649,,
69,L-Hippocampus,subcortex,L,,-24.436,-22.015,-14.5,,
70,L-Pallidum,subcortex,L,,-20.149,-5.6938,-1.0445,,
71,L-Putamen,subcortex,L,,-25.394,0.44851,0.3466,,
72,L-Caudate,subcortex,L,,-12.906,8.4539,10.124,,
73,L-Thalamus-Proper,subcortex,L,,-11.373,-19.314,6.5644,,
74,L-Cereb-Ctx,subcortex,L,,,,,,
